medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013000765,2013000762,CMT,1,N,2013-01-01 00:04:51,2013-01-01 00:07:05,2,133,.60,-73.967857,40.768742,-73.961243,40.775005
2013001574,2013001571,CMT,1,N,2013-01-01 00:07:07,2013-01-01 00:15:58,1,531,1.00,-73.975815,40.744858,-73.991676,40.749084
2013002699,2013002696,CMT,1,N,2013-01-01 00:10:19,2013-01-01 00:36:16,3,1556,4.00,-73.950348,40.779339,-73.990166,40.748531
2013003053,2013003050,CMT,1,N,2013-01-01 00:11:06,2013-01-01 00:22:27,3,681,2.90,-73.946175,40.785667,-73.946175,40.785667
2013004336,2013004333,CMT,1,N,2013-01-01 00:14:43,2013-01-01 00:19:12,2,268,.70,-74.002716,40.72665,-73.997124,40.732555
2013004908,2013004905,VTS,1,,2013-01-01 00:16:00,2013-01-01 00:37:00,1,1260,5.06,-73.987564,40.729347,-73.971245,40.785233
2013000030,2013000030,VTS,5,,2013-01-01 00:18:00,2013-01-01 00:18:00,1,0,.00,-73.994736,40.750393,-73.994743,40.750397
2013001315,2013001312,CMT,1,N,2013-01-01 00:20:22,2013-01-01 00:42:29,1,1326,8.20,-73.974518,40.742527,-73.995728,40.662838
2013006764,2013006760,CMT,1,N,2013-01-01 00:22:23,2013-01-01 00:28:49,1,386,1.20,-73.991829,40.726074,-73.990196,40.716663
2013001772,2013001769,VTS,1,,2013-01-01 00:24:00,2013-01-01 00:29:00,5,300,.72,-73.978355,40.750919,-73.978355,40.750919
2013007661,2013007657,CMT,1,N,2013-01-01 00:26:37,2013-01-01 00:40:48,1,850,1.60,-74.004333,40.742325,-73.981606,40.742302
2013004094,2013004091,VTS,1,,2013-01-01 00:28:00,2013-01-01 00:39:00,5,660,3.06,-73.969498,40.673393,-73.998322,40.755672
2013006020,2013006016,CMT,1,N,2013-01-01 00:29:56,2013-01-01 00:39:32,1,575,1.10,-73.970673,40.761803,-73.982071,40.748234
2013005840,2013005837,VTS,1,,2013-01-01 00:31:00,2013-01-01 00:49:00,6,1080,5.24,-73.97834,40.772812,-73.980499,40.738525
2013008182,2013008178,VTS,1,,2013-01-01 00:34:00,2013-01-01 00:50:00,1,960,7.36,-73.949799,40.784466,-73.920288,40.870304
2013006901,2013006897,VTS,1,,2013-01-01 00:36:00,2013-01-01 00:43:00,1,420,.59,-73.997726,40.7565,-73.99456,40.752441
2013002537,2013002534,VTS,1,,2013-01-01 00:38:00,2013-01-01 00:54:00,1,960,5.70,-73.964859,40.803448,-74.006409,40.74316
2013008122,2013008118,CMT,1,N,2013-01-01 00:39:26,2013-01-01 00:54:41,1,915,44.30,-74.015709,40.707394,-73.9757,40.728558
2013007108,2013007104,VTS,1,,2013-01-01 00:41:00,2013-01-01 00:50:00,2,540,1.85,-73.98735,40.729156,-73.973969,40.744118
2013002444,2013002441,VTS,1,,2013-01-01 00:43:00,2013-01-01 00:56:00,3,780,2.53,-73.970505,40.793892,-73.936378,40.79475
2013006029,2013006025,CMT,1,N,2013-01-01 00:44:58,2013-01-01 00:49:28,1,269,.00,-74.006172,40.733063,-74.006851,40.732994
2013004002,2013003999,CMT,1,N,2013-01-01 00:46:58,2013-01-01 00:54:17,3,438,1.10,-73.990242,40.746597,-73.99575,40.754875
2013008745,2013008741,VTS,1,,2013-01-01 00:48:00,2013-01-01 01:01:00,5,780,3.27,0,0,0,0
2013000219,2013000219,CMT,1,N,2013-01-01 00:49:36,2013-01-01 01:00:35,3,659,3.00,-74.017174,40.71125,-74.001816,40.746769
2013005883,2013005879,VTS,1,,2013-01-01 00:52:00,2013-01-01 01:01:00,1,540,2.44,-73.967827,40.800507,-73.945091,40.826736
2013007308,2013007304,VTS,1,,2013-01-01 00:53:00,2013-01-01 01:19:00,1,1560,7.32,-73.920509,40.756523,-73.952583,40.805763
2013008385,2013008381,CMT,1,N,2013-01-01 00:55:29,2013-01-01 01:02:46,1,437,1.10,-74.000381,40.738804,-74.000656,40.729816
2013000169,2013000169,VTS,1,,2013-01-01 00:57:00,2013-01-01 01:04:00,1,420,1.03,-73.99456,40.752583,-74.001572,40.761292
2013008900,2013008896,VTS,1,,2013-01-01 00:59:00,2013-01-01 01:04:00,4,300,.79,-73.987061,40.729385,-73.977715,40.725971
2013003008,2013003005,VTS,1,,2013-01-01 01:00:00,2013-01-01 01:09:00,1,540,3.11,-73.977928,40.783649,-73.949463,40.822601
2013004160,2013004157,VTS,1,,2013-01-01 01:02:00,2013-01-01 01:13:00,1,660,2.19,-73.98468,40.736351,-73.979034,40.759457
2013003931,2013003928,CMT,1,N,2013-01-01 01:03:45,2013-01-01 01:11:10,1,444,2.00,-73.978691,40.736588,-73.977104,40.758736
2013005558,2013005555,VTS,1,,2013-01-01 01:06:00,2013-01-01 01:23:00,1,1020,2.80,-74.008453,40.742386,-73.978516,40.749859
2013009091,2013009088,CMT,1,N,2013-01-01 01:07:06,2013-01-01 01:16:13,2,547,3.20,-73.983841,40.729481,-73.954048,40.770596
2013001993,2013001990,CMT,1,N,2013-01-01 01:09:26,2013-01-01 01:25:01,1,934,2.70,-73.979744,40.754772,-73.983932,40.727013
2013003638,2013003634,VTS,1,,2013-01-01 01:11:00,2013-01-01 01:12:00,1,60,.49,-73.980217,40.746101,-73.98291,40.741211
2013003272,2013003268,VTS,1,,2013-01-01 01:13:00,2013-01-01 01:18:00,1,300,.78,-73.993065,40.751934,-74.003822,40.753345
2013000671,2013000668,VTS,1,,2013-01-01 01:15:00,2013-01-01 01:57:00,5,2520,2.35,-73.964783,40.801876,-73.956032,40.821388
2013010038,2013010038,CMT,1,N,2013-01-01 01:17:52,2013-01-01 01:29:23,1,691,2.80,-73.998718,40.734882,-74.016212,40.706013
2013008990,2013008986,VTS,1,,2013-01-01 01:18:00,2013-01-01 01:27:00,5,540,1.73,-73.966705,40.804398,-73.978043,40.783974
2013001894,2013001891,CMT,1,N,2013-01-01 01:20:38,2013-01-01 01:27:25,2,406,.90,-73.985924,40.752319,-73.977661,40.763474
2013008806,2013008802,CMT,1,N,2013-01-01 01:21:51,2013-01-01 01:26:07,1,255,.80,-73.990669,40.74577,-73.983673,40.755966
2013004720,2013004717,CMT,1,N,2013-01-01 01:24:23,2013-01-01 01:26:28,1,124,.50,-73.864357,40.769936,-73.870148,40.770374
2013008386,2013008382,CMT,1,N,2013-01-01 01:25:51,2013-01-01 01:45:52,1,1201,3.00,-73.961243,40.796555,-73.95462,40.765675
